Users,TotalCost,Throughput,TotalCores,ResponseTime,SelectedRate_Station2,SelectedRate_Station3,Status
10.0,5.0,5.0,5.0,2.0,1,1,OPTIMAL
12.8,6.4,6.4,6.4,2.0,1,1,OPTIMAL
21.2,10.6,10.6,10.6,2.0,1,1,OPTIMAL
35.0,17.5,17.5,17.5,2.0,1,1,OPTIMAL
54.2,180.667,36.133,18.067,1.5,2,2,OPTIMAL
78.5,261.666,52.333,26.167,1.5,2,2,OPTIMAL
107.7,359.0,71.8,35.9,1.5,2,2,OPTIMAL
141.3,471.0,94.2,47.1,1.5,2,2,OPTIMAL
179.0,596.667,119.333,59.667,1.5,2,2,OPTIMAL
220.5,735.0,147.0,73.5,1.5,2,2,OPTIMAL
265.1,883.667,176.733,88.367,1.5,2,2,OPTIMAL
312.5,1041.666,208.333,104.167,1.5,2,2,OPTIMAL
362.1,1207.0,241.4,120.7,1.5,2,2,OPTIMAL
413.3,1377.667,275.533,137.767,1.5,2,2,OPTIMAL
465.5,1551.667,310.333,155.167,1.5,2,2,OPTIMAL
518.2,5653.091,376.873,141.327,1.375,3,2,OPTIMAL
570.7,6225.817,415.055,155.645,1.375,2,3,OPTIMAL
622.5,12450.0,498.0,124.5,1.25,3,3,OPTIMAL
672.9,13457.996,538.32,134.58,1.25,3,3,OPTIMAL
721.5,14429.996,577.2,144.3,1.25,3,3,OPTIMAL
767.6,15352.0,614.08,153.52,1.25,3,3,OPTIMAL
810.7,16214.0,648.56,162.14,1.25,3,3,OPTIMAL
850.3,17006.0,680.24,170.06,1.25,3,3,OPTIMAL
886.1,17722.0,708.88,177.22,1.25,3,3,OPTIMAL
917.5,18350.0,734.0,183.5,1.25,3,3,OPTIMAL
944.2,18884.0,755.36,188.84,1.25,3,3,OPTIMAL
966.0,19320.0,772.8,193.2,1.25,3,3,OPTIMAL
982.6,19652.0,786.08,196.52,1.25,3,3,OPTIMAL
993.7,19874.0,794.96,198.74,1.25,3,3,OPTIMAL
999.3,19986.0,799.44,199.86,1.25,3,3,OPTIMAL
999.3,19986.0,799.44,199.86,1.25,3,3,OPTIMAL
993.7,19874.0,794.96,198.74,1.25,3,3,OPTIMAL
982.6,19652.0,786.08,196.52,1.25,3,3,OPTIMAL
966.0,19320.0,772.8,193.2,1.25,3,3,OPTIMAL
944.2,18884.0,755.36,188.84,1.25,3,3,OPTIMAL
917.5,18350.0,734.0,183.5,1.25,3,3,OPTIMAL
886.1,17722.0,708.88,177.22,1.25,3,3,OPTIMAL
850.3,17006.0,680.24,170.06,1.25,3,3,OPTIMAL
810.7,16214.0,648.56,162.14,1.25,3,3,OPTIMAL
767.6,15352.0,614.08,153.52,1.25,3,3,OPTIMAL
721.5,14429.996,577.2,144.3,1.25,3,3,OPTIMAL
672.9,13457.996,538.32,134.58,1.25,3,3,OPTIMAL
622.5,12450.0,498.0,124.5,1.25,3,3,OPTIMAL
570.7,6225.817,415.055,155.645,1.375,2,3,OPTIMAL
518.2,5653.091,376.873,141.327,1.375,3,2,OPTIMAL
465.5,1551.667,310.333,155.167,1.5,2,2,OPTIMAL
413.3,1377.667,275.533,137.767,1.5,2,2,OPTIMAL
362.1,1207.0,241.4,120.7,1.5,2,2,OPTIMAL
312.5,1041.666,208.333,104.167,1.5,2,2,OPTIMAL
265.1,883.667,176.733,88.367,1.5,2,2,OPTIMAL
220.5,735.0,147.0,73.5,1.5,2,2,OPTIMAL
179.0,596.667,119.333,59.667,1.5,2,2,OPTIMAL
141.3,471.0,94.2,47.1,1.5,2,2,OPTIMAL
107.7,359.0,71.8,35.9,1.5,2,2,OPTIMAL
78.5,261.666,52.333,26.167,1.5,2,2,OPTIMAL
54.2,180.667,36.133,18.067,1.5,2,2,OPTIMAL
35.0,17.5,17.5,17.5,2.0,1,1,OPTIMAL
21.2,10.6,10.6,10.6,2.0,1,1,OPTIMAL
12.8,6.4,6.4,6.4,2.0,1,1,OPTIMAL
10.0,5.0,5.0,5.0,2.0,1,1,OPTIMAL
